Frequency (Hz)	Level (dB)
11541.796875	-99.089119
11584.863281	-99.039131
11627.929688	-99.119591
11670.996094	-98.979996
11714.062500	-98.695633
11757.128906	-98.873566
11800.195312	-98.900803
11843.261719	-98.741165
11886.328125	-98.634430
11929.394531	-98.538757
11972.460938	-98.778297
12015.527344	-98.687790
12058.593750	-98.415085
12101.660156	-98.425247
12144.726562	-98.275055
12187.792969	-97.958069
12230.859375	-97.481537
12273.925781	-97.159012
12316.992188	-97.478165
12360.058594	-97.366867
12403.125000	-97.202782
12446.191406	-97.458282
12489.257812	-97.719688
12532.324219	-97.778908
12575.390625	-97.274330
12618.457031	-96.884758
12661.523438	-96.669586
12704.589844	-96.545982
12747.656250	-96.808884
12790.722656	-96.445457
12833.789062	-96.787628
12876.855469	-97.145927
12919.921875	-97.105652
12962.988281	-97.087959
13006.054688	-97.179703
13049.121094	-97.361763
13092.187500	-97.299698
13135.253906	-97.521782
13178.320312	-97.651031
13221.386719	-97.143227
13264.453125	-97.223961
13307.519531	-97.677322
13350.585938	-97.882294
13393.652344	-97.779655
13436.718750	-97.747147
13479.785156	-97.861290
13522.851562	-97.976685
13565.917969	-98.189407
13608.984375	-98.349991
13652.050781	-98.299484
13695.117188	-98.443954
13738.183594	-98.645592
13781.250000	-98.545517
13824.316406	-98.610298
13867.382812	-99.052521
13910.449219	-99.190285
13953.515625	-98.857674
13996.582031	-99.173141
14039.648438	-99.168648
14082.714844	-99.534035
14125.781250	-99.382477
14168.847656	-99.187019
14211.914062	-99.688133
14254.980469	-99.952278
14298.046875	-99.946495
14341.113281	-100.187943
14384.179688	-100.509819
14427.246094	-100.616203
14470.312500	-100.567520
14513.378906	-100.259781
14556.445312	-100.472588
14599.511719	-101.124001
14642.578125	-101.268921
14685.644531	-101.204628
14728.710938	-101.400383
14771.777344	-101.707230
14814.843750	-101.517105
14857.910156	-101.850090
14900.976562	-101.941978
14944.042969	-102.210480
14987.109375	-102.673851
15030.175781	-102.780136
15073.242188	-102.535599
15116.308594	-102.679070
15159.375000	-102.790237
15202.441406	-102.943024
15245.507812	-102.730797
15288.574219	-103.005348
15331.640625	-103.362991
15374.707031	-103.598457
15417.773438	-103.644714
15460.839844	-103.455635
15503.906250	-103.661972
15546.972656	-103.902321
15590.039062	-104.196793
15633.105469	-104.563644
15676.171875	-104.263313
15719.238281	-104.119484
15762.304688	-104.880775
15805.371094	-105.533661
15848.437500	-105.270866
15891.503906	-105.111755
15934.570312	-105.103630
15977.636719	-105.851189
16020.703125	-105.867424
16063.769531	-105.754547
16106.835938	-106.107346
16149.902344	-106.291649
16192.968750	-106.271057
16236.035156	-106.283478
16279.101562	-106.361633
16322.167969	-106.476128
16365.234375	-106.732933
16408.300781	-106.553368
16451.367188	-106.413795
16494.433594	-106.527054
16537.500000	-106.634575
16580.566406	-106.808731
16623.632812	-106.951294
16666.699219	-106.787895
16709.765625	-107.270363
16752.832031	-108.826920
16795.898438	-111.197792
16838.964844	-112.760071
16882.031250	-113.387703
16925.097656	-113.383896
16968.164062	-113.248726
17011.230469	-113.458199
17054.296875	-113.319534
17097.363281	-112.875801
17140.429688	-112.906525
17183.496094	-113.425148
17226.562500	-113.530319
17269.628906	-113.394012
17312.695312	-113.479897
17355.761719	-113.218987
17398.828125	-113.299713
17441.894531	-113.371246
17484.960938	-113.182297
17528.027344	-113.357475
17571.093750	-113.315842
17614.160156	-113.077164
17657.226562	-113.051857
17700.292969	-113.177475
17743.359375	-113.218468
17786.425781	-113.326454
17829.492188	-113.508682
17872.558594	-113.223457
17915.625000	-113.417000
17958.691406	-113.371101
18001.757812	-113.209099
18044.824219	-113.409492
18087.890625	-113.588928
18130.957031	-113.170448
18174.023438	-113.005524
18217.089844	-113.107193
18260.156250	-113.412506
18303.222656	-113.406235
18346.289062	-113.450539
18389.355469	-113.633942
18432.421875	-113.448532
18475.488281	-113.412743
18518.554688	-113.301033
18561.621094	-113.483116
18604.687500	-113.755562
18647.753906	-113.551468
18690.820312	-113.470680
18733.886719	-113.445572
18776.953125	-113.203308
18820.019531	-113.425285
18863.085938	-113.364044
18906.152344	-113.502731
18949.218750	-113.526299
18992.285156	-113.394241
19035.351562	-113.213318
19078.417969	-113.528687
19121.484375	-113.589462
19164.550781	-113.448631
19207.617188	-113.531853
19250.683594	-113.663368
19293.750000	-113.807953
19336.816406	-113.662590
19379.882812	-113.453789
19422.949219	-113.571724
19466.015625	-113.651810
19509.082031	-113.490334
19552.148438	-113.532066
19595.214844	-113.638054
19638.281250	-113.507729
19681.347656	-113.673065
19724.414062	-114.017487
19767.480469	-113.991165
19810.546875	-113.982590
19853.613281	-114.267914
19896.679688	-114.360313
19939.746094	-114.239555
19982.812500	-114.071815
20025.878906	-114.199341
20068.945312	-114.206291
20112.011719	-114.476700
20155.078125	-114.775314
20198.144531	-114.599388
20241.210938	-114.512383
20284.277344	-114.816879
20327.343750	-114.840363
20370.410156	-114.807411
20413.476562	-114.979233
20456.542969	-115.050888
20499.609375	-115.084541
20542.675781	-115.072327
20585.742188	-115.348846
20628.808594	-115.266357
20671.875000	-115.243683
20714.941406	-115.446228
20758.007812	-115.403442
20801.074219	-115.574104
20844.140625	-115.696877
20887.207031	-115.601082
20930.273438	-115.555374
20973.339844	-115.749969
21016.406250	-115.809402
21059.472656	-115.994087
21102.539062	-116.050507
21145.605469	-116.058655
21188.671875	-116.407227
21231.738281	-116.389633
21274.804688	-116.773262
21317.871094	-116.769333
21360.937500	-116.589073
21404.003906	-117.076363
21447.070312	-117.437515
21490.136719	-117.398064
21533.203125	-117.219536
21576.269531	-117.167931
21619.335938	-117.372589
21662.402344	-117.446434
21705.468750	-117.254074
21748.535156	-117.360336
21791.601562	-117.319672
21834.667969	-117.470856
21877.734375	-117.397530
21920.800781	-117.296165
21963.867188	-117.395462
22006.933594	-117.363182
